date,city,country,avg_temp_c
00/11/01,Ahmadabad,India,25.577
00/12/01,Ahmadabad,India,21.785
01/01/01,Ahmadabad,India,19.77
01/02/01,Ahmadabad,India,22.438
01/03/01,Ahmadabad,India,27.198
01/04/01,Ahmadabad,India,31.034
01/05/01,Ahmadabad,India,33.358
01/06/01,Ahmadabad,India,30.717
01/07/01,Ahmadabad,India,27.73
01/08/01,Ahmadabad,India,27.893
01/09/01,Ahmadabad,India,29.49
01/10/01,Ahmadabad,India,29.073
01/11/01,Ahmadabad,India,25.516
01/12/01,Ahmadabad,India,22.16
02/01/01,Ahmadabad,India,19.831
02/02/01,Ahmadabad,India,22.333
02/03/01,Ahmadabad,India,27.885
02/04/01,Ahmadabad,India,32.02
02/05/01,Ahmadabad,India,34.317
02/06/01,Ahmadabad,India,32.522
02/07/01,Ahmadabad,India,29.698
02/08/01,Ahmadabad,India,28.036
02/09/01,Ahmadabad,India,28.558
02/10/01,Ahmadabad,India,29.507
02/11/01,Ahmadabad,India,25.437
02/12/01,Ahmadabad,India,22.485
03/01/01,Ahmadabad,India,21.006
03/02/01,Ahmadabad,India,23.304
03/03/01,Ahmadabad,India,27.331
03/04/01,Ahmadabad,India,31.887
03/05/01,Ahmadabad,India,33.511
03/06/01,Ahmadabad,India,32.268
03/07/01,Ahmadabad,India,28.952
03/08/01,Ahmadabad,India,27.82
03/09/01,Ahmadabad,India,28.009
03/10/01,Ahmadabad,India,27.927
03/11/01,Ahmadabad,India,25.657
03/12/01,Ahmadabad,India,21.174
04/01/01,Ahmadabad,India,20.143
04/02/01,Ahmadabad,India,22.73
04/03/01,Ahmadabad,India,29.174
04/04/01,Ahmadabad,India,32.25
04/05/01,Ahmadabad,India,33.376
04/06/01,Ahmadabad,India,31.881
04/07/01,Ahmadabad,India,29.769
04/08/01,Ahmadabad,India,27.586
04/09/01,Ahmadabad,India,29.065
04/10/01,Ahmadabad,India,27.168
04/11/01,Ahmadabad,India,25.943
04/12/01,Ahmadabad,India,22.455
05/01/01,Ahmadabad,India,18.898
05/02/01,Ahmadabad,India,21.815
05/03/01,Ahmadabad,India,27.38
05/04/01,Ahmadabad,India,30.601
05/05/01,Ahmadabad,India,33.25
05/06/01,Ahmadabad,India,32.509
05/07/01,Ahmadabad,India,29.117
05/08/01,Ahmadabad,India,27.755
05/09/01,Ahmadabad,India,28.18
05/10/01,Ahmadabad,India,27.628
05/11/01,Ahmadabad,India,24.659
05/12/01,Ahmadabad,India,20.145
06/01/01,Ahmadabad,India,20.323
06/02/01,Ahmadabad,India,25.196
06/03/01,Ahmadabad,India,26.411
06/04/01,Ahmadabad,India,30.692
06/05/01,Ahmadabad,India,33.697
06/06/01,Ahmadabad,India,31.467
06/07/01,Ahmadabad,India,28.675
06/08/01,Ahmadabad,India,26.732
06/09/01,Ahmadabad,India,28.548
06/10/01,Ahmadabad,India,28.415
06/11/01,Ahmadabad,India,25.325
06/12/01,Ahmadabad,India,21.913
07/01/01,Ahmadabad,India,20.697
07/02/01,Ahmadabad,India,23.644
07/03/01,Ahmadabad,India,27.121
07/04/01,Ahmadabad,India,32.205
07/05/01,Ahmadabad,India,33.748
07/06/01,Ahmadabad,India,32.307
07/07/01,Ahmadabad,India,29.124
07/08/01,Ahmadabad,India,27.979
07/09/01,Ahmadabad,India,28.836
07/10/01,Ahmadabad,India,27.604
07/11/01,Ahmadabad,India,25.621
07/12/01,Ahmadabad,India,21.248
